yrmon,month,feb44,dec44,jan45,sep45,madv,msales,madvl1,madvl2,madvl3,madvl4,msalesl1,msalesl2,msalesl3,msalesl4,c220,s220,c348,s348,c432,s432
4007,7,0,0,0,0,53900,143600,74300,75100,90000,97800,136400,172200,164100,124800,0.4257792916,-0.904827052,0.236498997,-0.971631733,-0.778462302,0.6276913613
4008,8,0,0,0,0,54800,146900,53900,74300,75100,90000,143600,136400,172200,164100,0.9685831611,0.2486898872,0.6565857558,0.7542513807,0.4483832161,-0.893841424
4009,9,0,0,0,0,98100,171000,54800,53900,74300,75100,146900,143600,136400,172200,-0.06279052,0.9980267284,-0.994951017,0.1003617149,-0.037690183,0.9992894726
4010,10,0,0,0,0,113500,181000,98100,54800,53900,74300,171000,146900,143600,136400,-0.992114701,0.1253332336,0.4927273415,-0.870183755,-0.379779096,-0.925077207
4011,11,0,0,0,0,75200,159000,113500,98100,54800,53900,181000,171000,146900,143600,-0.309016994,-0.951056516,0.4257792916,0.9048270525,0.7289686274,0.6845471059
4012,12,0,0,0,0,68200,131700,75200,113500,98100,54800,159000,181000,171000,146900,0.87630668,-0.481753674,-0.984564335,-0.175023059,-0.947098305,-0.32094361
4101,1,0,0,0,0,50900,194000,68200,75200,113500,98100,131700,159000,181000,171000,0.6374239897,0.7705132428,0.7115356772,-0.70264997,0.994951017,-0.100361715
4102,2,0,0,0,0,68800,150300,50900,68200,75200,113500,194000,131700,159000,181000,-0.63742399,0.7705132428,0.1626371652,0.9866859442,-0.863923417,0.5036232016
4103,3,0,0,0,0,125400,183900,68800,50900,68200,75200,150300,194000,131700,159000,-0.87630668,-0.481753674,-0.899405252,-0.437115767,0.5775727034,-0.816339251
4104,4,0,0,0,0,145900,194700,125400,68800,50900,68200,183900,150300,194000,131700,0.3090169944,-0.951056516,0.87630668,-0.481753674,-0.187381315,0.9822872507
4105,5,0,0,0,0,94300,180100,145900,125400,68800,50900,194700,183900,150300,194000,0.9921147013,0.1253332336,-0.112856385,0.9936113105,-0.236498997,-0.971631733
4106,6,0,0,0,0,47200,173000,94300,145900,125400,68800,180100,194700,183900,150300,0.0627905195,0.9980267284,-0.745941145,-0.666011867,0.6178596131,0.7862884321
4107,7,0,0,0,0,43200,163300,47200,94300,145900,125400,173000,180100,194700,183900,-0.968583161,0.2486898872,0.9745268728,-0.224270761,-0.888136449,-0.459579861
4108,8,0,0,0,0,45500,172300,43200,47200,94300,145900,163300,173000,180100,194700,-0.425779292,-0.904827052,-0.379779096,0.9250772068,0.9987369566,0.0502443182
4109,9,0,0,0,0,123400,202100,45500,43200,47200,94300,172300,163300,173000,180100,0.8090169944,-0.587785252,-0.535826795,-0.844327926,-0.929776486,0.3681245527
4110,10,0,0,0,0,128600,223300,123400,45500,43200,47200,202100,172300,163300,173000,0.7289686274,0.6845471059,0.9987369566,0.0502443182,0.6936533058,-0.720309025
4111,11,0,0,0,0,85800,170000,128600,123400,45500,43200,223300,202100,172300,163300,-0.535826795,0.8443279255,-0.617859613,0.7862884321,-0.332819545,0.9429905359
4112,12,0,0,0,0,75000,154200,85800,128600,123400,45500,170000,223300,202100,172300,-0.929776486,-0.368124553,-0.285019262,-0.958521789,-0.087851197,-0.996133609
4201,1,0,0,0,0,61600,171800,75000,85800,128600,123400,154200,170000,223300,202100,0.1873813146,-0.982287251,0.947098305,0.3209436098,0.4927273415,0.8701837547
4202,2,0,0,0,0,46700,171800,61600,75000,85800,128600,171800,154200,170000,223300,1,-9.79965e-15,-0.809016994,0.5877852523,-0.809016994,-0.587785252
4203,3,0,0,0,0,145600,195300,46700,61600,75000,85800,171800,171800,154200,170000,0.1873813146,0.9822872507,-0.01256604,-0.999921044,0.9798550524,0.1997099805
4204,4,0,0,0,0,158400,195700,145600,46700,61600,75000,195300,171800,171800,154200,-0.929776486,0.3681245527,0.8235325976,0.5672689491,-0.974526873,0.2242707609
4205,5,0,0,0,0,141700,190200,158400,145600,46700,61600,195700,195300,171800,171800,-0.535826795,-0.844327926,-0.938733858,0.3446429232,0.7939903986,-0.607930298
4206,6,0,0,0,0,80100,201900,141700,158400,145600,46700,190200,195700,195300,171800,0.7289686274,-0.684547106,0.2608415063,-0.965381639,-0.470703932,0.8822912264
4207,7,0,0,0,0,45100,200000,80100,141700,158400,145600,201900,190200,195700,195300,0.8090169944,0.5877852523,0.6374239897,0.7705132428,0.0627905195,-0.998026728
4208,8,0,0,0,0,64200,199900,45100,80100,141700,158400,200000,201900,190200,195700,-0.425779292,0.9048270525,-0.9971589,0.0753268055,0.3564118787,0.9343289425
4209,9,0,0,0,0,110100,208700,64200,45100,80100,141700,199900,200000,201900,190200,-0.968583161,-0.248689887,0.5144395338,-0.857526656,-0.711535677,-0.70264997
4210,10,0,0,0,0,108100,225700,110100,64200,45100,80100,208700,199900,200000,201900,0.0627905195,-0.998026728,0.4029064357,0.9152411726,0.9387338577,0.3446429232
4211,11,0,0,0,0,79600,205800,108100,110100,64200,45100,225700,208700,199900,200000,0.9921147013,-0.125333234,-0.979855052,-0.199709981,-0.9971589,0.0753268055
4212,12,0,0,0,0,12400,169400,79600,108100,110100,64200,205800,225700,208700,199900,0.3090169944,0.9510565163,0.7289686274,-0.684547106,0.87630668,-0.481753674
4301,1,0,0,0,0,41600,182100,12400,79600,108100,110100,169400,205800,225700,208700,-0.87630668,0.4817536741,0.1377902907,0.9904614257,-0.597904983,0.8015669849
4302,2,0,0,0,0,43400,188300,41600,12400,79600,108100,182100,169400,205800,225700,-0.63742399,-0.770513243,-0.888136449,-0.459579861,0.2120071099,-0.977268124
4303,3,0,0,0,0,111400,207400,43400,41600,12400,79600,188300,182100,169400,205800,0.6374239897,-0.770513243,0.8881364488,-0.459579861,0.2120071099,0.9772681236
4304,4,0,0,0,0,99500,202100,111400,43400,41600,12400,207400,188300,182100,169400,0.87630668,0.4817536741,-0.137790291,0.9904614257,-0.597904983,-0.801566985
4305,5,0,0,0,0,66200,186400,99500,111400,43400,41600,202100,207400,188300,182100,-0.309016994,0.9510565163,-0.728968627,-0.684547106,0.87630668,0.4817536741
4306,6,0,0,0,0,69400,190800,66200,99500,111400,43400,186400,202100,207400,188300,-0.992114701,-0.125333234,0.9798550524,-0.199709981,-0.9971589,-0.075326806
4307,7,0,0,0,0,108400,216000,69400,66200,99500,111400,190800,186400,202100,207400,-0.06279052,-0.998026728,-0.402906436,0.9152411726,0.9387338577,-0.344642923
4308,8,0,0,0,0,148800,242200,108400,69400,66200,99500,216000,190800,186400,202100,0.9685831611,-0.248689887,-0.514439534,-0.857526656,-0.711535677,0.7026499698
4309,9,0,0,0,0,150300,249700,148800,108400,69400,66200,242200,216000,190800,186400,0.4257792916,0.9048270525,0.9971589003,0.0753268055,0.3564118787,-0.934328942
4310,10,0,0,0,0,158800,263700,150300,148800,108400,69400,249700,242200,216000,190800,-0.809016994,0.5877852523,-0.63742399,0.7705132428,0.0627905195,0.9980267284
4311,11,0,0,0,0,144000,256100,158800,150300,148800,108400,263700,249700,242200,216000,-0.728968627,-0.684547106,-0.260841506,-0.965381639,-0.470703932,-0.882291226
4312,12,0,0,0,0,22600,217300,144000,158800,150300,148800,256100,263700,249700,242200,0.535826795,-0.844327926,0.9387338577,0.3446429232,0.7939903986,0.6079302977
4401,1,0,0,0,0,20100,221600,22600,144000,158800,150300,217300,256100,263700,249700,0.9297764859,0.3681245527,-0.823532598,0.5672689491,-0.974526873,-0.224270761
4402,2,1,0,0,0,97900,179200,20100,22600,144000,158800,221600,217300,256100,263700,-0.187381315,0.9822872507,0.0125660399,-0.999921044,0.9798550524,-0.199709981
4403,3,0,0,0,0,115900,205100,97900,20100,22600,144000,179200,221600,217300,256100,-1,0,0.8090169944,0.5877852523,-0.809016994,0.5877852523
4404,4,0,0,0,0,113400,194400,115900,97900,20100,22600,205100,179200,221600,217300,-0.187381315,-0.982287251,-0.947098305,0.3209436098,0.4927273415,-0.870183755
4405,5,0,0,0,0,82900,211500,113400,115900,97900,20100,194400,205100,179200,221600,0.9297764859,-0.368124553,0.2850192625,-0.958521789,-0.087851197,0.9961336091
4406,6,0,0,0,0,73900,196100,82900,113400,115900,97900,211500,194400,205100,179200,0.535826795,0.8443279255,0.6178596131,0.7862884321,-0.332819545,-0.942990536
4407,7,0,0,0,0,99600,213800,73900,82900,113400,115900,196100,211500,194400,205100,-0.728968627,0.6845471059,-0.998736957,0.0502443182,0.6936533058,0.7203090249
4408,8,0,0,0,0,100300,215100,99600,73900,82900,113400,213800,196100,211500,194400,-0.809016994,-0.587785252,0.535826795,-0.844327926,-0.929776486,-0.368124553
4409,9,0,0,0,0,108500,233200,100300,99600,73900,82900,215100,213800,196100,211500,0.4257792916,-0.904827052,0.3797790955,0.9250772068,0.9987369566,-0.050244318
4410,10,0,0,0,0,171000,275800,108500,100300,99600,73900,233200,215100,213800,196100,0.9685831611,0.2486898872,-0.974526873,-0.224270761,-0.888136449,0.4595798606
4411,11,0,0,0,0,88400,237000,171000,108500,100300,99600,275800,233200,215100,213800,-0.06279052,0.9980267284,0.7459411454,-0.666011867,0.6178596131,-0.786288432
4412,12,0,1,0,0,29700,135500,88400,171000,108500,100300,237000,275800,233200,215100,-0.992114701,0.1253332336,0.1128563849,0.9936113105,-0.236498997,0.9716317329
4501,1,0,0,1,0,75000,274300,29700,88400,171000,108500,135500,237000,275800,233200,-0.309016994,-0.951056516,-0.87630668,-0.481753674,-0.187381315,-0.982287251
4502,2,0,0,0,0,97200,220800,75000,29700,88400,171000,274300,135500,237000,275800,0.87630668,-0.481753674,0.8994052516,-0.437115767,0.5775727034,0.8163392507
4503,3,0,0,0,0,125300,261800,97200,75000,29700,88400,220800,274300,135500,237000,0.6374239897,0.7705132428,-0.162637165,0.9866859442,-0.863923417,-0.503623202
4504,4,0,0,0,0,146400,243400,125300,97200,75000,29700,261800,220800,274300,135500,-0.63742399,0.7705132428,-0.711535677,-0.70264997,0.994951017,0.1003617149
4505,5,0,0,0,0,77500,214700,146400,125300,97200,75000,243400,261800,220800,274300,-0.87630668,-0.481753674,0.9845643345,-0.175023059,-0.947098305,0.3209436098
4506,6,0,0,0,0,70300,193200,77500,146400,125300,97200,214700,243400,261800,220800,0.3090169944,-0.951056516,-0.425779292,0.9048270525,0.7289686274,-0.684547106
4507,7,0,0,0,0,68300,238400,70300,77500,146400,125300,193200,214700,243400,261800,0.9921147013,0.1253332336,-0.492727342,-0.870183755,-0.379779096,0.9250772068
4508,8,0,0,0,0,76500,217800,68300,70300,77500,146400,238400,193200,214700,243400,0.0627905195,0.9980267284,0.994951017,0.1003617149,-0.037690183,-0.999289473
4509,9,0,0,0,1,135600,189300,76500,68300,70300,77500,217800,238400,193200,214700,-0.968583161,0.2486898872,-0.656585756,0.7542513807,0.4483832161,0.8938414242
4510,10,0,0,0,0,155800,254900,135600,76500,68300,70300,189300,217800,238400,193200,-0.425779292,-0.904827052,-0.236498997,-0.971631733,-0.778462302,-0.627691361
4511,11,0,0,0,0,97300,183500,155800,135600,76500,68300,254900,189300,217800,238400,0.8090169944,-0.587785252,0.9297764859,0.3681245527,0.9685831611,0.2486898872
4512,12,0,0,0,0,19800,144600,97300,155800,135600,76500,183500,254900,189300,217800,0.7289686274,0.6845471059,-0.83752804,0.5463943467,-0.984564335,0.175023059
4601,1,0,0,0,0,79300,226900,19800,97300,155800,135600,144600,183500,254900,189300,-0.535826795,0.8443279255,0.0376901827,-0.999289473,0.8235325976,-0.567268949
4602,2,0,0,0,0,67200,167500,79300,19800,97300,155800,226900,144600,183500,254900,-0.929776486,-0.368124553,0.7939903986,0.6079302977,-0.514439534,0.8575266562
4603,3,0,0,0,0,107700,194500,67200,79300,19800,97300,167500,226900,144600,183500,0.1873813146,-0.982287251,-0.954864545,0.2970415816,0.1128563849,-0.993611311
4604,4,0,0,0,0,118700,175500,107700,67200,79300,19800,194500,167500,226900,144600,1,-1.95993e-14,0.3090169944,-0.951056516,0.3090169944,0.9510565163
4605,5,0,0,0,0,64500,185900,118700,107700,67200,79300,175500,194500,167500,226900,0.1873813146,0.9822872507,0.5979049831,0.8015669849,-0.675332808,-0.737513117
4606,6,0,0,0,0,46800,155900,64500,118700,107700,67200,185900,175500,194500,167500,-0.929776486,0.3681245527,-0.999684189,0.0251300954,0.9202318474,0.3913736668
4607,7,0,0,0,0,78800,191100,46800,64500,118700,107700,155900,185900,175500,194500,-0.535826795,-0.844327926,0.5568756165,-0.830595899,-0.999684189,0.0251300954
4608,8,0,0,0,0,98200,195300,78800,46800,64500,118700,191100,155900,185900,175500,0.7289686274,-0.684547106,0.3564118787,0.9343289425,0.8994052516,-0.437115767
4609,9,0,0,0,0,146900,211300,98200,78800,46800,64500,195300,191100,155900,185900,0.8090169944,0.5877852523,-0.968583161,-0.248689887,-0.63742399,0.7705132428
4610,10,0,0,0,0,169100,211700,146900,98200,78800,46800,211300,195300,191100,155900,-0.425779292,0.9048270525,0.762442511,-0.647055962,0.2608415063,-0.965381639
4611,11,0,0,0,0,31000,146600,169100,146900,98200,78800,211700,211300,195300,191100,-0.968583161,-0.248689887,0.0878511966,0.9961336091,0.1626371652,0.9866859442
4612,12,0,0,0,0,3300,114800,31000,169100,146900,98200,146600,211700,211300,195300,0.0627905195,-0.998026728,-0.863923417,-0.503623202,-0.556875616,-0.830595899
4701,1,0,0,0,0,87000,161800,3300,31000,169100,146900,114800,146600,211700,211300,0.9921147013,-0.125333234,0.9101059707,-0.414375581,0.8509944818,0.52517463
4702,2,0,0,0,0,88300,161700,87000,3300,31000,169100,161800,114800,146600,211700,0.3090169944,0.9510565163,-0.187381315,0.9822872507,-0.992114701,-0.125333234
4703,3,0,0,0,0,115000,168600,88300,87000,3300,31000,161700,161800,114800,146600,-0.87630668,0.4817536741,-0.693653306,-0.720309025,0.9548645447,-0.297041582
4704,4,0,0,0,0,78700,149300,115000,88300,87000,3300,168600,161700,161800,114800,-0.63742399,-0.770513243,0.9886517447,-0.150225589,-0.745941145,0.6660118674
4705,5,0,0,0,0,50300,138300,78700,115000,88300,87000,149300,168600,161700,161800,0.6374239897,-0.770513243,-0.448383216,0.8938414242,0.4029064357,-0.915241173
4706,6,0,0,0,0,48400,161900,50300,78700,115000,88300,138300,149300,168600,161700,0.87630668,0.4817536741,-0.470703932,-0.882291226,0.0125660399,0.9999210442
4707,7,0,0,0,0,62600,162400,48400,50300,78700,115000,161900,138300,149300,168600,-0.309016994,0.9510565163,0.9921147013,0.1253332336,-0.425779292,-0.904827052
4708,8,0,0,0,0,77500,163200,62600,48400,50300,78700,162400,161900,138300,149300,-0.992114701,-0.125333234,-0.675332808,0.7375131174,0.762442511,0.6470559616
4709,9,0,0,0,0,75600,186200,77500,62600,48400,50300,163200,162400,161900,138300,-0.06279052,-0.998026728,-0.21200711,-0.977268124,-0.962027672,-0.272951936
4710,10,0,0,0,0,94400,225600,75600,77500,62600,48400,186200,163200,162400,161900,0.9685831611,-0.248689887,0.9202318474,0.3913736668,0.9886517447,-0.150225589
4711,11,0,0,0,0,48800,138300,94400,75600,77500,62600,225600,186200,163200,162400,0.4257792916,0.9048270525,-0.850994482,0.52517463,-0.83752804,0.5463943467
4712,12,0,0,0,0,9900,102700,48800,94400,75600,77500,138300,225600,186200,163200,-0.809016994,0.5877852523,0.0627905195,-0.998026728,0.535826795,-0.844327926
4801,1,0,0,0,0,122900,181000,9900,48800,94400,75600,102700,138300,225600,186200,-0.728968627,-0.684547106,0.7784623016,0.6276913613,-0.137790291,0.9904614257
4802,2,0,0,0,0,97300,171400,122900,9900,48800,94400,181000,102700,138300,225600,0.535826795,-0.844327926,-0.962027672,0.2729519355,-0.285019262,-0.958521789
4803,3,0,0,0,0,77200,166700,97300,122900,9900,48800,171400,181000,102700,138300,0.9297764859,0.3681245527,0.3328195445,-0.942990536,0.6565857558,0.7542513807
4804,4,0,0,0,0,72400,160200,77200,97300,122900,9900,166700,171400,181000,102700,-0.187381315,0.9822872507,0.5775727034,0.8163392507,-0.910105971,-0.414375581
4805,5,0,0,0,0,44900,133600,72400,77200,97300,122900,160200,166700,171400,181000,-1,2.449913e-14,-1,2.8418e-14,1,-2.7437e-14
4806,6,0,0,0,0,73400,141500,44900,72400,77200,97300,133600,160200,166700,171400,-0.187381315,-0.982287251,0.5775727034,-0.816339251,-0.910105971,0.414375581
4807,7,0,0,0,0,74400,162400,73400,44900,72400,77200,141500,133600,160200,166700,0.9297764859,-0.368124553,0.3328195445,0.9429905359,0.6565857558,-0.754251381
4808,8,0,0,0,0,75600,172600,74400,73400,44900,72400,162400,141500,133600,160200,0.535826795,0.8443279255,-0.962027672,-0.272951936,-0.285019262,0.958521789
4809,9,0,0,0,0,96300,179700,75600,74400,73400,44900,172600,162400,141500,133600,-0.728968627,0.6845471059,0.7784623016,-0.627691361,-0.137790291,-0.990461426
4810,10,0,0,0,0,97700,172300,96300,75600,74400,73400,179700,172600,162400,141500,-0.809016994,-0.587785252,0.0627905195,0.9980267284,0.535826795,0.8443279255
4811,11,0,0,0,0,98200,146500,97700,96300,75600,74400,172300,179700,172600,162400,0.4257792916,-0.904827052,-0.850994482,-0.52517463,-0.83752804,-0.546394347
4812,12,0,0,0,0,10300,121700,98200,97700,96300,75600,146500,172300,179700,172600,0.9685831611,0.2486898872,0.9202318474,-0.391373667,0.9886517447,0.1502255891
4901,1,0,0,0,0,102700,160700,10300,98200,97700,96300,121700,146500,172300,179700,-0.06279052,0.9980267284,-0.21200711,0.9772681236,-0.962027672,0.2729519355
4902,2,0,0,0,0,101900,165500,102700,10300,98200,97700,160700,121700,146500,172300,-0.992114701,0.1253332336,-0.675332808,-0.737513117,0.762442511,-0.647055962
4903,3,0,0,0,0,107400,193500,101900,102700,10300,98200,165500,160700,121700,146500,-0.309016994,-0.951056516,0.9921147013,-0.125333234,-0.425779292,0.9048270525
4904,4,0,0,0,0,90900,165200,107400,101900,102700,10300,193500,165500,160700,121700,0.87630668,-0.481753674,-0.470703932,0.8822912264,0.0125660399,-0.999921044
4905,5,0,0,0,0,74300,163800,90900,107400,101900,102700,165200,193500,165500,160700,0.6374239897,0.7705132428,-0.448383216,-0.893841424,0.4029064357,0.9152411726
4906,6,0,0,0,0,70300,142300,74300,90900,107400,101900,163800,165200,193500,165500,-0.63742399,0.7705132428,0.9886517447,0.1502255891,-0.745941145,-0.666011867
4907,7,0,0,0,0,38100,148700,70300,74300,90900,107400,142300,163800,165200,193500,-0.87630668,-0.481753674,-0.693653306,0.7203090249,0.9548645447,0.2970415816
4908,8,0,0,0,0,121900,170900,38100,70300,74300,90900,148700,142300,163800,165200,0.3090169944,-0.951056516,-0.187381315,-0.982287251,-0.992114701,0.1253332336
4909,9,0,0,0,0,125200,188400,121900,38100,70300,74300,170900,148700,142300,163800,0.9921147013,0.1253332336,0.9101059707,0.414375581,0.8509944818,-0.52517463
4910,10,0,0,0,0,108100,213600,125200,121900,38100,70300,188400,170900,148700,142300,0.0627905195,0.9980267284,-0.863923417,0.5036232016,-0.556875616,0.8305958992
4911,11,0,0,0,0,23000,146400,108100,125200,121900,38100,213600,188400,170900,148700,-0.968583161,0.2486898872,0.0878511966,-0.996133609,0.1626371652,-0.986685944
4912,12,0,0,0,0,17600,125400,23000,108100,125200,121900,146400,213600,188400,170900,-0.425779292,-0.904827052,0.762442511,0.6470559616,0.2608415063,0.9653816388
5001,1,0,0,0,0,122600,148500,17600,23000,108100,125200,125400,146400,213600,188400,0.8090169944,-0.587785252,-0.968583161,0.2486898872,-0.63742399,-0.770513243
5002,2,0,0,0,0,117600,170500,122600,17600,23000,108100,148500,125400,146400,213600,0.7289686274,0.6845471059,0.3564118787,-0.934328942,0.8994052516,0.4371157667
5003,3,0,0,0,0,105500,183600,117600,122600,17600,23000,170500,148500,125400,146400,-0.535826795,0.8443279255,0.5568756165,0.8305958992,-0.999684189,-0.025130095
5004,4,0,0,0,0,76500,160500,105500,117600,122600,17600,183600,170500,148500,125400,-0.929776486,-0.368124553,-0.999684189,-0.025130095,0.9202318474,-0.391373667
5005,5,0,0,0,0,67700,151500,76500,105500,117600,122600,160500,183600,170500,148500,0.1873813146,-0.982287251,0.5979049831,-0.801566985,-0.675332808,0.7375131174
5006,6,0,0,0,0,10200,137500,67700,76500,105500,117600,151500,160500,183600,170500,1,0,0.3090169944,0.9510565163,0.3090169944,-0.951056516
5007,7,0,0,0,0,29200,133200,10200,67700,76500,105500,137500,151500,160500,183600,0.1873813146,0.9822872507,-0.954864545,-0.297041582,0.1128563849,0.9936113105
5008,8,0,0,0,0,105200,143600,29200,10200,67700,76500,133200,137500,151500,160500,-0.929776486,0.3681245527,0.7939903986,-0.607930298,-0.514439534,-0.857526656
5009,9,0,0,0,0,107800,149300,105200,29200,10200,67700,143600,133200,137500,151500,-0.535826795,-0.844327926,0.0376901827,0.9992894726,0.8235325976,0.5672689491
5010,10,0,0,0,0,105400,168400,107800,105200,29200,10200,149300,143600,133200,137500,0.7289686274,-0.684547106,-0.83752804,-0.546394347,-0.984564335,-0.175023059
5011,11,0,0,0,0,116900,131300,105400,107800,105200,29200,168400,149300,143600,133200,0.8090169944,0.5877852523,0.9297764859,-0.368124553,0.9685831611,-0.248689887
5012,12,0,0,0,0,9800,108700,116900,105400,107800,105200,131300,168400,149300,143600,-0.425779292,0.9048270525,-0.236498997,0.9716317329,-0.778462302,0.6276913613
5101,1,0,0,0,0,75800,146600,9800,116900,105400,107800,108700,131300,168400,149300,-0.968583161,-0.248689887,-0.656585756,-0.754251381,0.4483832161,-0.893841424
5102,2,0,0,0,0,117600,133500,75800,9800,116900,105400,146600,108700,131300,168400,0.0627905195,-0.998026728,0.994951017,-0.100361715,-0.037690183,0.9992894726
5103,3,0,0,0,0,147000,171100,117600,75800,9800,116900,133500,146600,108700,131300,0.9921147013,-0.125333234,-0.492727342,0.8701837547,-0.379779096,-0.925077207
5104,4,0,0,0,0,51300,150600,147000,117600,75800,9800,171100,133500,146600,108700,0.3090169944,0.9510565163,-0.425779292,-0.904827052,0.7289686274,0.6845471059
5105,5,0,0,0,0,12500,130200,51300,147000,117600,75800,150600,171100,133500,146600,-0.87630668,0.4817536741,0.9845643345,0.175023059,-0.947098305,-0.32094361
5106,6,0,0,0,0,9500,113300,12500,51300,147000,117600,130200,150600,171100,133500,-0.63742399,-0.770513243,-0.711535677,0.7026499698,0.994951017,-0.100361715
5107,7,0,0,0,0,10600,120100,9500,12500,51300,147000,113300,130200,150600,171100,0.6374239897,-0.770513243,-0.162637165,-0.986685944,-0.863923417,0.5036232016
